Keyword,Difficulty,Position,"Previous position","Position Serp Features","Search vol.","Search intent","SERP features",Competition,CPC,URL,Traffic,"Traffic share","Traffic cost"
dotenv,68,5,,"People also ask",3600,I,"Video, People also ask, Images, Related searches",0,0,https://infisical.com/blog/stop-using-dotenv-in-nodejs-v20.6.0+,40,5.04,0
"hashicorp vault",70,8,8,,5700,"I, N","Reviews, Sitelinks, Video, People also ask, Images, Related searches",0.47,1.37,https://infisical.com/blog/hashicorp-vault-pricing,23,2.9,31.51
"secrets management tools",27,4,23,,590,I,"Video, People also ask, AI Overview, Related searches, Sites",0.14,10,https://infisical.com/,22,2.77,220
"secret management tools",21,4,,,590,I,"Video, People also ask, AI Overview, Related searches, Sites",0.14,10,https://infisical.com/blog/best-secret-management-tools,18,2.27,180
"azure key vault pricing",30,4,6,,590,I,"Reviews, Video, People also ask, AI Overview, Related searches",0.04,3.89,https://infisical.com/blog/azure-key-vault-pricing,17,2.14,66.13
"azure key vault cost",35,4,6,,590,I,"Reviews, Video, People also ask, AI Overview, Related searches",0.04,3.89,https://infisical.com/blog/azure-key-vault-pricing,17,2.14,66.13
"ssh certificate howto",27,2,3,,320,I,"Video, AI Overview, Related searches",0.01,4.97,https://infisical.com/blog/ssh-certificates-guide,16,2.02,79.52
dotenv,68,13,6,,3600,I,"Video, People also ask, Images, Related searches",0,0,https://infisical.com/blog/stop-using-dotenv-in-nodejs-v20.6.0+,14,1.76,0
"ssh key certificate",21,1,2,,320,I,"Video, People also ask, Images, AI Overview, Related searches",0.01,4.97,https://infisical.com/blog/ssh-certificates-guide,14,1.76,69.58
"secret management services",39,1,1,,70,I,"Images, Related searches",0.14,12,https://infisical.com/,12,1.51,144
"ssh with certificates",21,3,3,,320,I,"Video, AI Overview, Related searches",0.01,4.97,https://infisical.com/blog/ssh-certificates-guide,12,1.51,59.64
"ssh cert",19,3,3,,320,I,"Video, People also ask, AI Overview, Related searches",0.01,4.97,https://infisical.com/blog/ssh-certificates-guide,11,1.39,54.67
"ssh certificate",21,3,2,,320,I,"Video, People also ask, Images, AI Overview, Related searches",0.01,4.97,https://infisical.com/blog/ssh-certificates-guide,10,1.26,49.7
"ssh certificates",21,2,2,,320,I,"Video, People also ask, AI Overview, Related searches",0.01,4.97,https://infisical.com/blog/ssh-certificates-guide,10,1.26,49.7
"certificate ssh",21,4,2,,320,I,"Video, People also ask, Images, AI Overview, Related searches",0.01,4.97,https://infisical.com/blog/ssh-certificates-guide,10,1.26,49.7
"gitlab secrets",16,5,8,,480,I,"Video, People also ask, Related searches",0.02,4.82,https://infisical.com/blog/gitlab-secrets,9,1.13,43.38
"privileged access management",72,28,,,2900,I,"Video, People also ask, Images, AI Overview, Related searches",0.11,16.37,https://infisical.com/blog/what-is-privileged-access-management,8,1.01,130.96
"hashicorp vault pricing",7,3,4,,260,I,"Reviews, Video, People also ask, Images, AI Overview, Related searches",0.42,3.32,https://infisical.com/blog/hashicorp-vault-pricing,8,1.01,26.56
"certificate management software",30,21,30,,260,I,"Video, Related searches",0.25,15.57,https://infisical.com/blog/what-is-certificate-manager,7,0.88,108.99
"hashicorp vault alternatives",12,3,4,,210,I,"Video, AI Overview, Related searches, Sites",0.39,10,https://infisical.com/blog/hashicorp-vault-alternatives,7,0.88,70
"hashicorp vault alternative",11,4,3,,210,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites",0.39,10,https://infisical.com/blog/hashicorp-vault-alternatives,7,0.88,70
"secrets manager",74,17,19,,1500,I,"Reviews, Video, People also ask, Images, AI Overview, Related searches",0.33,9.34,https://infisical.com/blog/best-secret-management-tools,6,0.76,56.04
"oauth2 implementation",51,1,1,,50,I,"Reviews, Video, Related searches",0.18,4.1,https://infisical.com/blog/guide-to-implementing-oauth2,6,0.76,24.6
"hashicorp vault alternatives",12,1,1,"AI Overview",210,I,"Video, AI Overview, Related searches, Sites",0.39,10,https://infisical.com/blog/hashicorp-vault-alternatives,6,0.76,60
"api keys management",28,3,2,,170,I,"Video, People also ask, AI Overview, Related searches",0.34,4.8,https://infisical.com/blog/api-key-management,6,0.76,28.8
"api key management",23,3,2,,170,I,"Video, People also ask, AI Overview, Related searches",0.34,4.8,https://infisical.com/blog/api-key-management,6,0.76,28.8
"share secret",18,12,9,,480,I,"Video, People also ask, Related searches",0.03,3.01,https://infisical.com/docs/documentation/platform/secret-sharing,6,0.76,18.06
"terraform vs opentofu",16,4,4,,210,I,"Video, People also ask, AI Overview, Related searches",0,0,https://infisical.com/blog/terraform-vs-opentofu,6,0.76,0
"open source secret manager",32,18,21,,110,"I, N","Reviews, Video, Copyright infringement, AI Overview, Related searches, Sites",0.15,3.14,https://infisical.com/blog/best-secret-management-tools,6,0.76,18.84
"vault pricing",18,2,3,,140,I,"Reviews, Video, People also ask, AI Overview, Related searches",0.56,1.1,https://infisical.com/blog/hashicorp-vault-pricing,5,0.63,5.5
"vault secure",25,4,,"People also ask",390,I,"Reviews, Video, People also ask, Related searches",0.09,2.75,https://infisical.com/blog/hashicorp-vault-pricing,5,0.63,13.75
"dotenv npm",21,8,9,,480,I,"Video, Images, Related searches",0,0,https://infisical.com/blog/stop-using-dotenv-in-nodejs-v20.6.0+,5,0.63,0
"ssh certificate howto",27,1,,"AI Overview",320,I,"Video, AI Overview, Related searches",0.01,4.97,https://infisical.com/blog/ssh-certificates-guide,5,0.63,24.85
"ssh certification",20,8,,,320,I,"Video, People also ask, Related searches",0.01,4.97,https://infisical.com/blog/ssh-certificates-guide,5,0.63,24.85
"oauth examples",40,3,7,,110,I,"Video, People also ask, Images, AI Overview, Related searches",0.08,1.49,https://infisical.com/blog/guide-to-implementing-oauth2,4,0.5,5.96
"kubernetes secrets",20,7,29,,320,I,"Video, People also ask, Images, AI Overview, Related searches",0.06,3.97,https://infisical.com/blog/kubernetes-secrets-management-2025,4,0.5,15.88
"secrets management tools",27,1,,"AI Overview",590,I,"Video, People also ask, AI Overview, Related searches, Sites",0.14,10,https://infisical.com/,4,0.5,40
"secret management tools",21,1,,"AI Overview",590,I,"Video, People also ask, AI Overview, Related searches, Sites",0.14,10,https://infisical.com/,4,0.5,40
"secrets management software",26,3,,,110,I,"Video, People also ask, AI Overview, Related searches",0.13,12,https://infisical.com/blog/best-secret-management-tools,4,0.5,48
"secrets management platform",41,3,3,,90,I,"Video, People also ask, Bottom Ads, AI Overview, Related searches",0.05,12,https://infisical.com/,4,0.5,48
conjur,23,1,,"AI Overview",260,I,"Reviews, Video, People also ask, AI Overview, Related searches",0.01,7.11,https://infisical.com/blog/cyberark-conjur-pricing,3,0.38,21.33
